title,condition,fuel,odometer,title status,transmission,url,price,cylinders,drive,paint color,size,type,VIN,brand
2015 GMC SIERRA,,diesel,202527,clean,automatic,https://cnj.craigslist.org/ctd/d/paterson-2015-gmc-sierra-2500-slt-4x4/7688354996.html,32995,,4wd,black,,pickup,1GT12ZE8XFF525395,gmc
2002 jeep liberty,good,gas,122000,clean,automatic,https://cnj.craigslist.org/cto/d/trenton-2002-jeep-liberty/7688354772.html,3500,6 cylinders,4wd,orange,mid-size,SUV,,jeep
2017 2017 ram Promaster,excellent,gas,109000,lien,automatic,https://cnj.craigslist.org/cto/d/somerset-ram-promaster-1500/7688342498.html,23000,6 cylinders,rwd,white,full-size,van,,ram
2009 ford flex limited awd,,gas,145000,clean,automatic,https://cnj.craigslist.org/cto/d/berkeley-heights-2009-ford-flex-limited/7688336523.html,3900,,4wd,,,,2FMEK63C69BA78024,ford
2012 Volkswagon GTI 6 Speed Hatch,,gas,116850,clean,manual,https://cnj.craigslist.org/ctd/d/toms-river-2012-volkswagon-gti-speed/7688333251.html,6500,4 cylinders,fwd,white,,hatchback,,
2019 HONDA ACCORD,,gas,82848,clean,automatic,https://cnj.craigslist.org/ctd/d/paterson-2019-honda-accord-sport-pmts/7688316498.html,18885,,fwd,blue,full-size,sedan,1HGCV1F30KA167348,honda
2011 BMW X6 M,,gas,88915,clean,automatic,https://cnj.craigslist.org/ctd/d/clementon-2011-bmw-x6/7688315072.html,16900,,,,,,5YMGZ0C54BLK13991,bmw
2013 Nissan Pathfinder  4dr SL,,gas,99777,clean,automatic,https://cnj.craigslist.org/ctd/d/fairless-hills-2013-nissan-pathfinder/7688309327.html,0,6 cylinders,4wd,,,SUV,5N1AR2MMXDC655091,nissan
2007 MERCEDES-BENZ M-CLASS,,gas,84160,clean,automatic,https://cnj.craigslist.org/ctd/d/marlboro-2007-mercedes-benz-ml-350/7688309229.html,9495,,,black,,SUV,4JGBB86E77A230428,mercedes-benz
2016 mini cooper s,like new,gas,114000,clean,manual,https://cnj.craigslist.org/cto/d/freehold-2016-mini-cooper-6-speed/7688301379.html,9995,4 cylinders,fwd,,,,WMWXP7C57G3B49556,mini
2022 International MV607 Flatbed,excellent,gas,131991,clean,automatic,https://cnj.craigslist.org/ctd/d/lakewood-2022-international-mv607-with/7688299462.html,114950,6 cylinders,rwd,white,full-size,truck,,
2004 mercedes benz s500,,gas,130000,salvage,automatic,https://cnj.craigslist.org/cto/d/manville-2004-mercedes-s500/7688292273.html,4500,,,blue,,,,
1966 ford mustang convertible,good,gas,59700,clean,automatic,https://cnj.craigslist.org/cto/d/clark-1966-mustang-convertible-gt/7688289344.html,26000,8 cylinders,,red,full-size,convertible,,ford
2021 ford f-650 f650 rollback flatbed,excellent,diesel,124302,clean,automatic,https://cnj.craigslist.org/ctd/d/lakewood-2021-ford-f650-jerrdan-tow/7688285283.html,99950,8 cylinders,rwd,black,full-size,truck,,ford
2019 Nissan Rogue  SV,,gas,164432,clean,automatic,https://cnj.craigslist.org/ctd/d/fairless-hills-2019-nissan-rogue-awd/7688280534.html,0,4 cylinders,4wd,,,SUV,JN8AT2MV2KW393467,nissan
2010 Ford Edge,,gas,172016,clean,automatic,https://cnj.craigslist.org/ctd/d/spotswood-2010-ford-edge-limited-4dr/7688279073.html,5600,6 cylinders,fwd,,,SUV,2FMDK3KC6ABA02898,ford
2007 Nissan Murano,,gas,130910,clean,automatic,https://cnj.craigslist.org/ctd/d/trenton-2007-nissan-murano-sl-awd-4dr/7688278987.html,4900,6 cylinders,4wd,black,,SUV,JN8AZ08W27W650768,nissan
1994 Chevrolet Corvette,,gas,59602,clean,automatic,https://cnj.craigslist.org/ctd/d/spotswood-1994-chevrolet-corvette-base/7688278959.html,12500,8 cylinders,fwd,,,coupe,1G1YY22P8R5118100,chevrolet
2011 Hyundai Santa Fe,,gas,203723,clean,automatic,https://cnj.craigslist.org/ctd/d/trenton-2011-hyundai-santa-fe-se-awd/7688278889.html,4000,6 cylinders,4wd,silver,,SUV,5XYZHDAG3BG058281,hyundai
2015 NISSAN QUEST,,gas,84101,clean,automatic,https://cnj.craigslist.org/ctd/d/paterson-2015-nissan-quest-pmts/7688270451.html,11985,,fwd,silver,,mini-van,JN8AE2KP4F9131341,nissan
2018 kia forte s,excellent,gas,50230,clean,automatic,https://cnj.craigslist.org/ctd/d/lakewood-nice-2018-kia-forte-miles-we/7688270414.html,13950,4 cylinders,fwd,grey,mid-size,sedan,,kia
2007 bmw 530xi,,gas,170000,clean,automatic,https://cnj.craigslist.org/cto/d/clifton-2007-bmw-530xi-awd/7688269485.html,2600,,,,,,,bmw
2017 RAM 1500,,gas,129795,clean,automatic,https://cnj.craigslist.org/ctd/d/paterson-2017-ram-1500-big-horn-4x4/7688261961.html,25345,,4wd,brown,,pickup,1C6RR7GT7HS507247,ram
2004 lexus ls 430,good,gas,186000,clean,automatic,https://cnj.craigslist.org/cto/d/manville-lexus-ls430/7688252954.html,6000,8 cylinders,rwd,blue,,,,lexus
2012 nissan rogue,fair,gas,170000,clean,automatic,https://cnj.craigslist.org/cto/d/south-plainfield-2012-nissan-rogue/7688243800.html,2000,4 cylinders,4wd,black,compact,SUV,JN8AS5MV5CW406458,nissan
2015 MAZDA CX-9,,gas,85604,clean,automatic,https://cnj.craigslist.org/ctd/d/marlboro-2015-mazda-cx-grand-touring/7688241137.html,14995,,4wd,red,,SUV,JM3TB3DV5F0457823,mazda
2007 MITSUBISHI OUTLANDER AWD,good,gas,253719,clean,automatic,https://cnj.craigslist.org/cto/d/ocean-gate-2007-mitsubishi-outlander-awd/7688241039.html,1875,6 cylinders,4wd,blue,,SUV,,mitsubishi
"2005 2005 GMC 4500 , 14ft 8 ton dump",good,diesel,199000,clean,automatic,https://cnj.craigslist.org/cto/d/toms-river-like-new-2005-izusu-l-diesel/7688240891.html,9000,4 cylinders,rwd,white,full-size,truck,,gmc
2018 HONDA CIVIC TYPE R,,gas,80810,clean,manual,https://cnj.craigslist.org/ctd/d/paterson-2018-honda-civic-type-touring/7688232065.html,31985,,fwd,,full-size,hatchback,SHHFK8G7XJU202688,honda
2012 Honda Civic LX 4dr Sedan 5A,,gas,125453,clean,automatic,https://cnj.craigslist.org/ctd/d/paterson-2012-honda-civic-lx-4dr-sedan/7688230785.html,7999,,,,,sedan,2HGFB2F5XCH553730,honda
2021 Jeep Wrangler Unlimited Sahara,,,57868,clean,automatic,https://cnj.craigslist.org/ctd/d/hillside-2021-jeep-wrangler/7688229170.html,35500,,4wd,black,,SUV,1C4HJXEN8MW592652,jeep
2020 Chevrolet Equinox,,gas,14102,clean,automatic,https://cnj.craigslist.org/ctd/d/asbury-park-2020-chevrolet-chevy/7688227245.html,21390,,fwd,blue,,,3GNAXKEV8LL261813,chevrolet
2008 2008 dodge caravan,,gas,134000,clean,automatic,https://cnj.craigslist.org/cto/d/woodbridge-2008-dodge-grand-caravan-se/7688224323.html,3300,,,,,,,dodge
1974 alfa romeo spider,good,gas,26000,clean,manual,https://cnj.craigslist.org/cto/d/trenton-1974-alfa-romeo/7688219178.html,8500,4 cylinders,rwd,red,,,AR3045503,alfa romeo
2015 isuzu npr,,gas,86991,clean,automatic,https://cnj.craigslist.org/cto/d/lawrence-township-2015-isuzu-npr/7688217715.html,96,,,,,,,
2007 Jeep Liberty,,gas,148813,clean,automatic,https://cnj.craigslist.org/ctd/d/trenton-2007-jeep-liberty-limited-4dr/7688209882.html,4500,6 cylinders,4wd,white,,SUV,1J4GL58K87W631234,jeep
2012 nissan frontier,like new,gas,123405,clean,automatic,https://cnj.craigslist.org/cto/d/trenton-2012-nissan-frontier-mint/7688204742.html,15300,,4wd,,,,,nissan
2009 Dodge Nitro,,gas,174266,clean,automatic,https://cnj.craigslist.org/ctd/d/spotswood-2009-dodge-nitro-se-4x4-4dr/7688202693.html,4900,6 cylinders,4wd,black,,SUV,1D8GU28K59W548558,dodge
2013 Hyundai Elantra,,gas,155980,clean,automatic,https://cnj.craigslist.org/ctd/d/spotswood-2013-hyundai-elantra-gls-4dr/7688202662.html,6200,4 cylinders,fwd,silver,,sedan,5NPDH4AEXDH195111,hyundai
2013 honda crv ex-l awd,excellent,gas,146000,clean,automatic,https://cnj.craigslist.org/cto/d/somerset-13-honda-crv-exl-4wd/7688200365.html,10400,4 cylinders,4wd,black,full-size,SUV,,honda
2005 sterling acterra,excellent,diesel,158000,clean,manual,https://cnj.craigslist.org/cto/d/05-sterling-acterra/7688200190.html,15900,6 cylinders,rwd,white,full-size,truck,,
2013 ford f-150 lariat,excellent,gas,205000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2013-ford-150-crew-cab-lariet/7688199093.html,9399,6 cylinders,4wd,silver,full-size,pickup,,ford
2009 nissan sentra,excellent,gas,79000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2009-nissan-sentra-ony-miles/7688197793.html,5500,4 cylinders,,black,mid-size,sedan,,nissan
2010 Silverado 1500 4WD Crew Cab LT,excellent,gas,241776,clean,automatic,https://cnj.craigslist.org/ctd/d/garwood-2010-chevrolet-silverado-wd/7688197674.html,5900,8 cylinders,4wd,black,full-size,pickup,3GCRKSEA4AG171703,
2002 Honda Accord EX w/Leather,fair,gas,148287,clean,automatic,https://cnj.craigslist.org/ctd/d/summit-2002-honda-accord-ex-leather/7688197609.html,2995,6 cylinders,fwd,red,mid-size,sedan,1HGCG16512A003957,honda
1994 Chrysler LeBaron GTC,like new,gas,39288,clean,automatic,https://cnj.craigslist.org/ctd/d/garwood-1994-chrysler-lebaron-gtc/7688197496.html,8800,6 cylinders,fwd,green,mid-size,convertible,1C3EU4536RF259708,chrysler
2014 ford focus sel,excellent,gas,79000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2014-ford-focus-senior-driven/7688197109.html,6799,,,red,mid-size,,,ford
2012 kia forte,excellent,gas,200000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2012-kia-forte-sx-runs-excellent/7688196792.html,3999,4 cylinders,,white,mid-size,sedan,,kia
2015 jeep renegade trailhawk,excellent,gas,129000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2015-jeep-renegade-trail-hawk/7688195431.html,9999,,,,,,,jeep
2017 ford escape,excellent,gas,120000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2017-black-ford-escape-all-wheel/7688194529.html,8399,4 cylinders,,,,,,ford
2010 NISSAN MAXIMA,excellent,gas,179000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2010-nissan-maxima-fully-loaded/7688194156.html,4999,,,,,,,nissan
2007 mercury mountaineer,excellent,gas,260000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2007-mercury-mountaineer-premier/7688187190.html,3499,,,silver,full-size,SUV,,
2015 ford edge sel,excellent,gas,200000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2015-ford-edge-sel-all-wheel/7688185630.html,6399,,,,,,,ford
2004 mazda tribute,excellent,gas,99000,clean,automatic,https://cnj.craigslist.org/cto/d/iselin-2004-mazda-tribute-miles-4x4/7688184396.html,2999,,,,,,,mazda
2014 MERCEDES-BENZ E 350 SPORT 4MATIC,,gas,132585,clean,automatic,https://cnj.craigslist.org/ctd/d/clementon-2014-mercedes-benz-350-sport/7688170645.html,10900,,,,,,WDDHF8JB8EB022975,mercedes-benz
2011 BMW 550XI M SPORT PACKAGE,,gas,112254,clean,automatic,https://cnj.craigslist.org/ctd/d/clementon-2011-bmw-550xi-sport-package/7688170605.html,9900,,,,,,WBAFU9C51BC785783,bmw
2014 HYUNDAI ELANTRA SE,,gas,96732,clean,automatic,https://cnj.craigslist.org/ctd/d/clementon-2014-hyundai-elantra-se/7688170576.html,8900,,,,,,5NPDH4AE9EH469268,hyundai
2012 BUICK ENCLAVE LEATHER,,gas,92967,clean,automatic,https://cnj.craigslist.org/ctd/d/clementon-2012-buick-enclave-leather/7688170541.html,11500,,,,,,5GAKVCED5CJ222119,buick
2014 ford explorer xlt 4x4,excellent,gas,140000,clean,automatic,https://cnj.craigslist.org/cto/d/freehold-2014-ford-explorer-xlt-awd/7688163098.html,8999,6 cylinders,4wd,,,,1FM5K8D86EGA75570,ford
2011 jeep wrangler unlimited sahara,excellent,gas,172000,clean,automatic,https://cnj.craigslist.org/cto/d/north-brunswick-2011-jeep-wrangler/7688157973.html,14500,6 cylinders,4wd,,,SUV,1J4BA5H15BL561399,jeep
2011 subaru legacy 3.6r limited awd,excellent,gas,166000,clean,automatic,https://cnj.craigslist.org/ctd/d/elizabeth-subaru-legacy-limited-36r/7688150825.html,5999,6 cylinders,4wd,blue,full-size,sedan,,subaru
2011 MITSUBISHI GALANT - SE,excellent,gas,130000,clean,automatic,https://cnj.craigslist.org/ctd/d/elizabeth-mitsubishi-galant-se/7688148943.html,5599,4 cylinders,fwd,white,full-size,sedan,,mitsubishi
2009 HYUNDAI TUSON -GLS,excellent,gas,150000,clean,automatic,https://cnj.craigslist.org/cto/d/elizabeth-hyundai-tuscon-gls/7688145233.html,4499,4 cylinders,fwd,black,full-size,SUV,,hyundai
"1992 Saturn, SC",good,gas,23232,clean,automatic,https://cnj.craigslist.org/cto/d/asbury-park-1992-saturn-sc/7688145120.html,4800,,,,,,,
2010 CHEVROLET MALIBU -LS,excellent,gas,120000,clean,automatic,https://cnj.craigslist.org/ctd/d/elizabeth-chevrolet-malibu-ls/7688145047.html,5299,4 cylinders,fwd,silver,full-size,sedan,,chevrolet
2011 HYUNDAI SANTE FE - GLS,excellent,gas,145000,clean,automatic,https://cnj.craigslist.org/ctd/d/elizabeth-hyundai-santa-fe-gls/7688144883.html,5999,4 cylinders,fwd,brown,full-size,SUV,,hyundai
2013 VOLKSWAGEN TIGUAN -S 4 MOTION,excellent,gas,145000,clean,automatic,https://cnj.craigslist.org/ctd/d/elizabeth-volkswagen-tiguan-motion/7688144646.html,6999,4 cylinders,4wd,silver,compact,SUV,,volkswagen
2013 BMW - X3  DRIVE,excellent,gas,110000,clean,automatic,https://cnj.craigslist.org/ctd/d/elizabeth-bmw-x3-drive/7688144225.html,8999,4 cylinders,4wd,white,full-size,SUV,,bmw
